id,sentence1,label
34,@user @user @user And conservatives are no longer conservatives why do you think Maxime Bernier has started a new party that will follow original Conservative values.,not-offensive
35,@user Holy shit I love her???,offensive
36,@user @user @user Can you let him know?,not-offensive
37,@user @user @user @user @user @user Sir it comes to something when you present a lie as a fact.... Have you no shame? This is the fact 65% of labour voters voted to Remain. Ref YouGov polls. Your position is based on a false premise......have a nice day,not-offensive
38,@user @user A stark reminder that @user and you are trying to con us with chequers and a bit of our waters back - not good enough - @user @user  @user @user @user @user @user @user appeasing is not a good look @user,not-offensive
39,@user @user WHERE'S holier than thou @user  Sippin wine in the shade somewhere...  #MAGA,not-offensive
40,@user I can’t cuz that nigga retarded smh,offensive
41,9 factory workers gunned down in Iowa City with 20-gauge Winchester pump-action shotgun. The NRA blames gun control laws.,offensive
42,@user So the overwhelming liberals in the populated states can make policy for the rest of America with whom they have no clue about.  Just because California has the biggest population does not mean the U.S. shares in their values.  Get a clue Hillary.,not-offensive
43,@user Berkeley Antifa do not agree with you,not-offensive
44,@user He is quite good at faking. Must have done it numerous times,offensive
45,@user Griexsevia,not-offensive
46,@user We do have a few outages reported in Toronto.   Here's a link to our outage map to see if you are in one of the defined spots - -SC,not-offensive
47,@user @user What new gun control laws would you like to see passed and what would they accomplish?,not-offensive
48,Take Take Take #WalkAway from the #idiot party! #MAGA,offensive
49,@user @user You are so correct the Democratic party for slavery and pro-nazi gun control,offensive
50,@user Good luck,not-offensive
51,@user @user @user She did it and she is alive is greatness of Hinduism. You should try it with Quran if you have guts.,not-offensive
52,@user Hell ya,not-offensive
53,@user @user Prove your claim or be exposed as the lying piece of shit you are.   Meanwhile...,offensive
54,@user Get shit poppin,offensive
55,@user She says no. You are now sad. She then realizes what you might actually mean. She slaps you. She says no. Now you are sad AND your face hurts.,offensive
56,@user Patrick ass??,offensive
57,@user Eric Holder should've been in his 2nd yr at Gitmo. What's the update on Gitmo's expansion?  Why is he still breathing in our freedom air?,not-offensive
58,@user All we ever hear from Hillary is beeching &amp; moaning.  Dang ! That witch never get tired of complaining!,offensive
59,@user Buy one,not-offensive
60,@user Come on CNN.  He literally introduced himself.  The guy is a public figure for gun control.  Call him out!,offensive
61,@user @user I didn't know Oprah Winfrey knew how to play tennis. .. 😱,not-offensive
62,@user Yeah she is,not-offensive
63,@user @user @user She is a walking talking lie..  that’s why.,offensive
64,@user She is so cute ♡,not-offensive
65,@user Holder is responsible for selling guns to the Mexican cartel. Just another Obama administration law breaker.,offensive
66,@user @user Sounds to me like the Pope needs counselled on confession.,not-offensive
67,@user Better than what? Truth? Politicians have never been good at that. My America is better than Flake.,offensive
68,@user @user That so many “thoughtful conservatives” who rushed to Kavanaugh’s defense didn’t consider  their own statements re: black teenagers tells you everything about how “thoughtful” they truly are.,not-offensive
69,@user you couldn’t catch me letting some saggy whitey bitch talkin like this to me 😫 bitch eat dirt,offensive
70,.@USER  joined the show to talk about how she is leading the fight against breast cancer at @user @user Listen to the full interview:,not-offensive
71,@user You are becoming the court jester of the senate,offensive
72,@user tell that to him. He is very perfectionist. I don’t think we will change that ever 😅,not-offensive
73,@user @user @user @user Also there to help banks boost their balance sheets post crash. I'd imagine atleast 15% (Maybe more) of current house prices are part of the bank bailout package.,not-offensive
74,@user He’s a DA. Someone educate him he’s in the South now,not-offensive
75,@user Notice how everyone avoids this tweet ☝️☝️  They might think you are referring to them. 😂😂  But not me comrade. I stalk everyone. 🤟🤟,not-offensive
76,@user I don't know if this cat even realizes what he is doing.,not-offensive
77,@user @user He is.,not-offensive
78,@user And you are a football fan too !,not-offensive
79,@user Well he’s closer to Lincoln than you are.,not-offensive
80,@user Every one of them is more rank than she is. And she's pretty rank. So I guess they all outrank her...,not-offensive
81,@user well...?,not-offensive
82,@user And why report this garbage.  We don't give a crap.,offensive
83,@user @user @user Says one of the thickest cultists on Twitter. Irony at its finest.,not-offensive
84,@user She is disgusting,offensive
85,@user Eric holder is Obama's straw man of corruption,offensive
86,@user And yes your presidency was one of the absolute worst. Go back to that....no way.,not-offensive
87,@user @user @user You should take this picture down you destroyed one of my all time favorite Comedian/Actors @user,not-offensive
88,@user @user @user @user @user @user I saw her in Denver last week. She is still traumatized. Cohen owes her so much because of 'My Life on the D List'.,not-offensive
89,@user America is better than swamp crud like YOU!,offensive
90,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Thank you for adding me Razor!  Patriots- if you aren’t following my Primary account @user - will you take a minute &amp; Follow me? Thanks &amp; MAGA🇺🇸,not-offensive
91,@user The lies i keep hearing everyday sigh *INHALES* IM TIRED OF YOU PUTTING YOURSELF DOWN AND IF PPL DONT SEE HOW BEAUTIFUL MY BESTFRIEND IS THEN ITS THEIR PROBLEM You are beautiful ive seen iT so its my place to tell you you are beautiful and i accept nothing less. If not more 😤,offensive
92,@user He is very perceptive Sweetie!,not-offensive
93,"@user Dear Paul McFartney-  You had us at Beatles.  You lost us at President Mad Captain.  Burn in hell-  Jon.""""",offensive
94,@user you are also the king of taste,not-offensive
95,"@user And everyone knows that Kerry doesn't have a clue!  Heard that from numerous anonymous"""" sources who also say he is not sane.  That's what the sources say.""""",not-offensive
96,@user @user I think she is a hypocrite and loyal to the evil GOP. Vote her out.,offensive
97,@user @user Bill Clinton enjoyed raping them while Ted Kennedy enjoyed killing them. But you are cool with that.,offensive
98,@user #Conservatives #Republicans are #TRAITORS to #America,offensive
99,@user This liberal is pissed that anyone would give that disgusting pos an award for equality. And....f.u. for including all liberals in this bullshit decision by the HRC.,offensive
100,@user Eirc Holder: a friken idiot,offensive
101,@user @user You are very beautifull,not-offensive
102,@user Crazy freaking liberals,offensive
103,@user @user She's been active on Instagram lately. And she is dropping an album sometime this year.,not-offensive
104,@user @user Then we'll be talking about gun control! 😉,not-offensive
105,@user @user Ikkk he is a fucking prince 6al3 mn al stories bta3in Disney kida ahhooo😹😭😹😭😹💜💜💜,offensive
106,@user @user says social housing is good and in the same breath talks of climbing the ladder.   Hypocrisy incarnate from a failed lying politician lining her party's pockets with tax money for real estate builders @user building their failure of lies,offensive
107,@user @user He is delirious!,offensive
108,@user I can see how frustrating that is. Conservatives will always get more praise for humane policies because it isn't neccessarily expected of them.,not-offensive
109,@user sick of white neo liberals speaking for Black people saying they all love Hillary. They are so deluded. It’s like they just rep ‘black lives matter’ so they can appear woke enough to keep railing against Bernie supporters. Because you know they didn’t care b4 Hillary lost 2 trump,offensive
110,@user @user Do not donate. She is picking and choosing who she donates to. Being reported.,not-offensive
111,@user @user @user Are you wanting gun control for LEO’s?,not-offensive
112,@user @user @user Do it with quran and then we will see how much atheist and brave she is... hindus figured it out that this type of attention grabbing big boss wanna be people are not worth it...  Go live in your 2 minutes Prime Time covered life ... Lord krishna and his followers don't care,offensive
113,@user But she is hecking cute fluffer,not-offensive
114,#Labour #Councillor shouting Nazi Scum ..  At victims of #GroomingGangs and this is going to get worse under #JeremyCorbyn's socialist #Britain   #Muslims #Islam #Leftists #MAGA #MEGA #MCGA #MEGA #Patriots #Conservatives,not-offensive
115,@user @user @user How about your outrage over this?  Do something so you can be credible instead of being perceived as demagogues partisans #MAGA,offensive
116,@user Yee yee,not-offensive
117,@user @user @user @user Huh! The pot grows as council grows...in this case it is a reduction...and that amount $25m is going right back to the city for police gun control...already announced!,not-offensive
118,@user @user @user @user Whoa!  Angie!!! Back off that logic!  You're going to confuse the liberals.,not-offensive
119,"1) Ultimately, the defense of Kavanaugh by Republicans, conservatives, their media and public is a manifestation of America's rape culture -- the latter being neither 'colorblind' or 'race neutral.'""""""""",not-offensive
120,@user @user Wrong. @user was a enthusiastic architect of devastating austerity along with the Tory's. The @user did not have to abandon every principle they supposedly had to the @user they could have let Cameron run a minority Government (as dId SNP) but CHOSE not to,not-offensive
121,@user @user @user @user  @user  Please get out to vote Republican right down the ticket or Pelosi gets back into control,not-offensive
122,@user @user you are running scared!🤡,not-offensive
123,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Ryan's wife was from a famously conservative Blue Dog Democrat family in Oklahoma. The conservatives that have left the Dems. She herself has always known to be conservative. She campaigned against Obama nationally in '08 and '12.,not-offensive
124,"@user @user @user @user @user @user @user @user @user So the AR-15 is a fully semi-automatic assault rifle,"""" gun control works, and Donald Trump is racist?""""",offensive
125,@user Just listening to Juan Williams on the FIVE drives me crazy.  He is such an ignorant man.  Where does this man get his facts?  Thank GOD for Jesse Waters and you ladies!,offensive
126,"@user @user @user @user What you're doing is so irresponsible &amp; I believe that ur smart enough to understand how evil you are. If the FBI or JD had some plot to thwart DT, all they had to do was leak"""" to the press that he was being investigated. They DID NO SUCH THING. U know you're wrong, that's evil!""""",offensive
127,@user Ok guys I think her claims are b.s. too but if you start threatening her you're no better than Antifa,not-offensive
128,@user By the looks of her face you can tell where they're pulling the numbers from,not-offensive
129,@user Fair &amp; square. Remember that when you’re thinking why! The laws are why. The people spoke and they will again,not-offensive
130,@user I think the FBI should do the original interview.  They scare people more than feckless congress that will have to handle her with kids gloves or be demonized in media and left. Put her under oath and attempt to get the truth. She will be protected by liberals in congress,not-offensive
131,@user GOD DAMN IT... YOU ARE SO RIGHT. THERE'S NO GOING WRONG WITH THIS STUFF.,not-offensive
132,The “Law and Order” president really hates law enforcement! Lol #MAGA,offensive
133,@user if you ever want a record setting bad election for the liberals in quebec you need to go back to this,not-offensive
134,"@user @user @user @user @user ...how you want to be defined""""? PUL-EASE! When you live under a 24/7/365 MSMedia SHIT-SMEAR to the point you have Marxine Waters sending her ANTIFA minions out to threaten you in public places - you learn not to give a F*CK what the """"Pavlovian Left"""" thinks. Night, night 🌙!""""",offensive
135,-Being on food stamps  -Liking boys/girls or liking both -Not knowing who you are -Your body size  -Not knowing something  -scared to ask for help -Not dating someone  -What you wear,not-offensive
136,@user @user @user @user We are not a democratic republic. We have never been a Democratic anything. We have never had Democratic ideology. Nor is this a “new” talking point. We are constantly correcting Democrats/liberals on this.,not-offensive
137,@user @user @user @user @user @user @user @user @user @user @user Soon both the libs &amp; the conservatives will havevut so everytime we have a change of government we'll be paying out cancelled contracts,not-offensive
138,@user You are sexy as fuck babygirl🔥🔥🔥,offensive
139,@user FF8 sucks MAJOR wang.,offensive
140,@user @user She picks some random conservative issues from US and try to force fit in Indian narrative. Next might be gun control 😭,not-offensive
141,@user @user @user She should have gotten August off to let work on stuff at the P.C. It would have help her a lot.,not-offensive
142,@user Another nail in the coffin of the NFL,offensive
143,@user @user @user @user You are not dumb.,not-offensive
144,@user Holy moly!! If the catholic people haven't been awakened by this ..... #FalseProphet  #Lunatic,not-offensive
145,@user Bullshit. People died because of an incompetent government in Puerto Rico. And you can start with that mayor. Stop lying Gutierrez.,offensive
146,@user Antifa isn’t after her.,not-offensive
147,@user @user He is such a showman! And those pipes😍 the man can SING,not-offensive
148,@user @user @user Now we just need antifa outside when they confirm kavanaugh,not-offensive
149,@user Fascist always control the media.,offensive
150,@user More I think about this one--it feels like a story trap. People go nuts and complain--talk about gun control which Cruz could then use to fire up his base claiming that they want to take away 2A rights all because of a couple of shells.,not-offensive
151,@user Fuck you dope.  Not a Fox watcher.  Independent voter that will never vote left.  Your Party is dangerous.,offensive
152,@user was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism,offensive
153,@user @user @user @user as of right now my only solid position is that the NRA has become far too influential in politics and as a result they have delayed the desire for gun control for about 20 years.,offensive
154,@user @user @user @user @user @user He is a crook,offensive
155,A BUNCH OF VULTURES!  TIM ISNT EVEN GONE YET -WTF?  HAVE YOU NO SHAME?  ALL YOU SEE ARE $$ I HOPE HE LEFT EVERY PENNY TO AN ANIMAL RESCUE!  'Carol Burnett' star Tim Conway recovers from brain surgery as family battle over comic's fate rages on #FoxNews,offensive
156,@user A liberal anarchist coup d'etat gang runs rampant &amp; a GOP AG does nothing. Liberals prove to be the biggest hate group in USA. The leftstream media cheers them on while excoriating duly elected President of the United States 24/7. ANTIFA openly advocates killing cops. Silence,not-offensive
157,@user Antifa is the modern day KKK. Funded by the Demarat party..,not-offensive
158,"@user @user Right. shoot the messenger."""" Don't go after the homosexual rot in the clergy, Bergoglio, go after the man - Archbishop Vigano - who EXPOSED the homosexual rot in the clergy. Satan must be having a REALLY good laugh over that one.""""",offensive
159,@user @user Why don't liberals understand that an allegation of drunk teenagers who don't have sex is not a federal crime? Golly Moses- What is wrong with those people?,not-offensive
160,@user Doubt he is requesting any player to be moved. IMO It's likely if he feels the team is close to be a contender or if he is satisfied to being a mentor to a borderline team,not-offensive
161,@user @user Can't stand to listen to that puke. I change the channel when he speaks. He believes his own LIES!!....They're all NUTS!! #LeftWingLiberalDisease #WalkAway #VoteRedToSaveAmerica  🇺🇸🇺🇸#MAGA 🇺🇸🇺🇸,offensive
162,@user 1. Six year-old tweet from an account I don't control referencing my previous time slot 2. Refers to Bloomberg's call for gun control. Not mine. Michael Bloomberg.,not-offensive
163,. This little one is my why. She is the reason I strive each day to become a better version of who I already am. . Before babies I used to fear I’d never have enough time for a family.…,not-offensive
164,@user I love your momma. She is me,not-offensive
165,@user Sad day for all liberals 💃💃💃💃💃💃💃💃💃💃😂😂😂😂😂,not-offensive
166,3. @user You’re my lil baby and I’m so proud of you for working as hard as you do. Thank you for still being there for me like you are. You’re the sweetest 💕💕 don’t ever change,not-offensive
167,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user I’m an Antifa Angel who has come to set the Dregs and Deplorables Free. Free from caring what losers think about you.,not-offensive
168,@user And god forbid you are already talking to someone or dating they get real mad 😂🤷🏼‍♀️ we like those people over you for a reason sorry bout it 😂,not-offensive
169,@user @user Keep up the great work Cory! You are today’s hero. Not the Op-Ed author who should have invoked the 25th.,not-offensive
170,@user @user Ha ha ha sneaky buggers. I have put out a warning to have sound off. That will show them.,offensive
171,@user @user @user Look Ellen.... I am not a socialist commie... you are the one for government Universal Health Care bigger government gun control and free colleges. I am American I'm for capitalism,offensive
172,@user @user @user No you wouldn't sis I know damn well you would probably call it cute people propose in concerts all the time yet when its a gay couple its wrong you're at a fucking concert you don't have to pay attention,offensive
173,@user She is a fake a fraud and a democrat activist plant. She is a tool to try to derail the process and then to later drum up votes for democrats claiming conservatives don't care about victims. If Democrats cared if they wouldn't cheapen real victims with fakes.,offensive
174,@user @user She is dickmatized,offensive
175,@user Fat ass.... heart attack city..... keep eating fat ass....,offensive
176,"@user @user Much of your promise of money is not extra/new as govt took back £817 MILLION promised for new affordable"""" homes! Stop Right to Buy - we have a @user created #HousingCrisis now, too little, too late!",not-offensive
177,@user As it gets closer to November the left is in full on panic mode their talking points will forever be 25th Amendment. Ok idiots let’s see you try it.,offensive
178,@user Nigga then how can you say bo2 is the best Cod 🤨,offensive
179,@user @user You are right I'm black so thanks,not-offensive
180,- Will liberals agree that any is destructive?,not-offensive
181,@user @user @user @user @user She can do a Google search of protests by antifa but she already knows that. It's called being blind. I would never support a conservative protest where they beat people up and destroyed property,not-offensive
182,@user @user @user @user @user @user @user @user @user @user Pretty much. As I’ve stated I believe is gun control just not this aspect of it. The guns aren’t the problem the people who shouldn’t have guns are. Where do we draw the line. How do we prevent “bad or crazy” people from shooting up a crowd. Surely we don’t have the answer,not-offensive
183,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user And yet antifa dresses like isis....,not-offensive
184,@user Dude. What the fuck is WRONG WITH YOU?  I sent you a direct tweet to show you how you re-tweet your OWN shit. Then I let it go. Now you want to double down?  Just go back to Whoviille,offensive
185,@user @user @user He is entitled to tell his side of story.Then judge.,not-offensive
186,@user “Antifa is bad” how hard is it to say that?,not-offensive
187,@user @user She is your sister????,not-offensive
188,@user @user He can admit that 3000 Americans died on his watch. You should remind him he is President of all of us.,not-offensive
189,@user @user Corbyn and Abbott won’t get in so the conservatives will win again 👍,not-offensive
190,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user More people scared of what the Liberals will think and say about them. This is rampant around conservatives.  The only ones who ever stopped giving them that power were the Trump movement and they absolutely won everything including the internets.,not-offensive
191,@user Cough*Nicky Haley*,not-offensive
192,@user Oh yes 😎,not-offensive
193,@user Holder needs to be prosecuted,not-offensive
194,@user @user @user 👏WELL👏SAID👏👏👏👏👏👏She gets more negative feedback than anyone ever!! Because she is always defending her BAD BEHAVIOR! Way to show her little girl how to act!👏👏👏👏👏👏,offensive
195,@user Brett Kavanaugh was supposed to be a selling point for GOP candidates in the midterm elections. But now he could become a liability...CBS enough of all your BS lies. Go away with your other liberals CNN. MSM. WE ARE NOT LISTENING TO YOUR IGNORANT BS Stories!!! 😡😡😡😡,offensive
196,@user Buh Buh snowFlake,not-offensive
197,..and he is yet to get a call-up for senior team..,not-offensive
198,@user @user @user @user I’m just saying he’s not playing like how he should be for the amount he’s getting paid I’m sorry to let you down.,not-offensive
199,@user @user @user @user @user @user @user @user antifa blocking the road in Salzburg #SalzburgSummit18,not-offensive
200,@user Ouch. She is horrible.,offensive
201,@user That's what Lindsey Graham uses for a butt hole............,offensive
202,@user Stale,not-offensive
203,"#USA (I feel your pain, even while I profit causing it!) #liberals , U gotta luv 'em! Redistributing wealth not on their menu- serve up identity politics slop. So you destroyed #Libya -ya'll never catch Bill now -he's got million dead #Iraqi kids (sanctions '90's) under his belt",offensive
204,@user @user @user @user Hes comin for ur woolly bitches,offensive
205,@user That describes how I feel about the Liberals at any level,not-offensive
206,@user @user @user @user @user @user Conservatives are only interested in owning women like property and exploding the deficit so long as the rich are taken care of. Keep the faith tho.,not-offensive
207,@user B.S. How much fake data has big pharma fed you. You are penalizing adults who vaping has helped. You have a far bigger problem with teen alcohol sales and flavored wine coolers. Try reading a legit study.,not-offensive
208,@user @user @user @user @user @user If you put any claim that that ambulance chaser is in anyway anything by a shyster you are a fool bigger than he is,offensive
209,@user Hope they continue to crash @user,offensive
210,@user    You warned everyone about Josh Gordon the last 4 months on a daily basis.  I'm sure you are as shocked as I am of what transpired today.,not-offensive
211,@user @user Christine Ford is an admitted friend to Bernie Saunders and she is Known to Hobnob with other demo politicians! Most shocking word is Kavanaughs mom a Judge ruled against Fords parents in a forclosure case in mid 90s🤔,not-offensive
212,Did Someone just say maga 2k19,not-offensive
213,@user @user you should probably start reading your Bible hun.,not-offensive
214,@user @user @user @user @user Agreed and what I’m saying too.,not-offensive
215,@user You said it. They're trying to prove that cheepika is goddess and everyone else has nothing to offer. It tells everything about how insecure they are as fans. Now their target is alia because they know how good she is. Alia being so good is threat to their so called goddess.,offensive
216,@user Sir. The Governor House Lahore will be used as a museum and a art gallery. You are the minister for Information and Culture. Please take some measures to protect the place from filth and damage caused by our ignorant public.,not-offensive
217,@user As soon as Kavanaugh is seated you can say goodbye to federal gun control. Never in your life will you see it again.,not-offensive
218,@user @user achichincle lamebotas!,offensive
219,"...The book makes Trump look good &amp; makes the so-called Deep State"""" - 'particularly Mueller - look like a pack of partisan hacks.'  Woodward Book Proves 1 Thing, Liberals Fear Trump Isn&amp;#8217;t Breaking, the Deep State Is",not-offensive
220,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user You are not very smart are you? Why do you think Gen Flynn’s sentencing keeps being rescheduled?,offensive
221,Spoke with a woman in Croatia today.   She said 80% of Croatia loves @user !!   #maga,not-offensive
222,@user All liberals should cross the floor and leave Trudeau all alone to implode! Guy is leading  our country into financial disaster!,not-offensive
223,"@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user really And then"""" WHERE in the WORLD does Antifa fit into wacked out Birdlandia? And boy oh boy Birdsize also apparently believes the notion that there are people who actually """"deny climate""""  I kid you not! I think Rod Serling's coming to escort Birdbrain back to 'the zone'""""",not-offensive
224,@user he is not the only one I bet $$ some these people are organizers of Antifa!!,not-offensive
225,"@user Never Trumper uses brain for first time, wakes up to the fight #MAGA community has been waging for two years.""""""""",not-offensive
226,@user Carrey is a pig🤬,offensive
227,@user @user @user It’s funny. That comment is 💯 Illogical. WalkAway is so easy. #maga is Great! #MEGA is already happenin Make Earth Great Again,not-offensive
228,Shocking Undercover Video Exposes Communists Inside Government: “I Break Rules Every Day” - Sara A. Carter #MAGA  #WWG1WGA,not-offensive
229,@user @user Good lord.,not-offensive
230,@user @user he is always the victim..same song and dance..,not-offensive
231,@user @user @user Tuna and beef brisket? I thought all you liberals were vegans.,not-offensive
232,@user OMG why do we care about these Hollywood Liberals??,not-offensive
233,@user doing pretty good hope you are well my friend tough season for both teams but it happens,not-offensive
234,@user Liberals are full of s#$t when they say they have alot of love to give!  They have become the devils minions.  No one will prayerfully vote for their socialist agenda!,offensive
235,@user Free speech is alive but not so well since all social media platforms are run with a strict dictatorship of opinions by libtards.,offensive
236,@user I can't wait for Kavanaugh to throw gun control in the garbage can where it belongs.,offensive
237,@user No and they’re expensive ass hell,offensive
238,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user that's like me &amp; flying i have never been in any airplane unless Donnie takes me his plane &amp; holds my hand the whole time or i sit right next to him knowing me i would have sit on his lap &amp; hold on to him i'm afraid to fly,not-offensive
239,@user @user My favourite part of this is watching all the conservatives lose their minds as usual. Once again the Democrats are being mean to us boo-hoo. LOL.,offensive
240,@user @user   Pls take a look at signing gordon he is the deep threat with goodwin hurt we need and only 27. @user  come play with Grop,offensive
241,@user Never would I trust any @user and especially @user they sold out to the @user and stuck Two fingers up to the People of the UK!!  #VoteLabour #GE2018NOW #WeAreCorbyn #UnitedWeStand,not-offensive
242,@user Be careful.. you know the terrorist arm of the @user antifa is going to show up an try something..,not-offensive
243,@user Whenever ya'll reference the wire all I'm going to think is exit stage left,not-offensive
244,@user @user Antifa = Democrats = Dixiecrats = KKK,not-offensive
245,@user @user @user what the fuck,offensive
246,"@user @user @user @user @user My experience is the gun control activists don't really want a conversation, they want capitulation. The way around that would be to open with proposals to expand gun rights in exchange for whatever is they're looking for. There can't really be a conversation"""" without that""""",not-offensive
247,#Liberals grasp at unproven straws ... #NotPlastic,offensive
248,@user @user May be the cameramen is a Trump supporter. @user Have you checked if he is standing on a rock or so? LMAO 😂 #FakeNewsCNN,not-offensive
249,@user I fucking loved that cat I am so sad,not-offensive
250,@user @user @user @user @user Liberals Don't Appreciate Your Sarcasm. They Thought You Were On Their Side.,not-offensive
251,@user It's fine..... he's gods Prophet 🙄imagine that nowadays... yes officer i did fuck that elementary student BUT its fine bc god said i could....,not-offensive
252,@user Definantly,not-offensive
253,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Stop with your nonsense. You are a block. You are STUPID!,offensive
254,@user I should rephrase that... something went down and she is trying to cover it up with some LAME@USER story about “oh I thought I was in my own house” BULLSH1T! What a obviously blatant lie.,not-offensive
255,@user everyone's ragging your ass on Puerto rico Don. The mayor put a stop to the work being done out there a while back.,offensive
256,@user Shameful.  #NRA is spending over a million $ to get Kavanaugh installed.  Gun control isn't his pot of Tea.,offensive
257,"@user @user Way over the head..."""" you #Liberals are all the same.. """"@USER supporters are stupid"""" """"If you think for yourself, you are a racist"""" """"Aboilish ICE so we can have open borders and more crime."""" Get out of you bubble for a minute and look at how great the country is doing. #MAGA""""",offensive
258,@user Character and Clinton. Cartoon maybe,offensive
259,AntiFa fascists and Socialists are one and the same......time to respond !,offensive
260,@user @user Antifa will sign anything if they’re paid enough.,not-offensive
